GrapNet	arxiv	arxiv:2606.18923; paper-only, no implementation located in sweep	dynamic executable architecture graph: GrapNode vector parent interfaces	float32	programmable dynamic neural graph substrate	programmable-neural-graph/continual-learning	2026	arXiv:2606.18923; date=2026-06-17; distinct primitive: network topology is an editable executable child-owned graph with trainable allocation vectors and topology edits reflected in parameter coordinates; grep-verified absent via GrapNet/GrapNode/dynamic-architecture neural graph/graph-as-network.
stylegan2_ada_pytorch_generator	github:NVlabs/stylegan2-ada-pytorch	from training.networks import Generator; Generator(z_dim=512, c_dim=0, w_dim=512, img_resolution=256, img_channels=3)	z=(1,512), c=(1,0)	float32	stylegan2-ada	image-generation/gan	2020	WEB. Official PyTorch StyleGAN2-ADA; source legacy conversion exposes z_dim/c_dim/w_dim/img_resolution/img_channels.
stylegan2_ada_pytorch_discriminator	github:NVlabs/stylegan2-ada-pytorch	from training.networks import Discriminator; Discriminator(c_dim=0, img_resolution=256, img_channels=3)	img=(1,3,256,256), c=(1,0)	float32	stylegan2-ada-discriminator	image-generation/gan	2020	WEB. Official ADA discriminator; ADA augmentation is training-time wrapper, core module is traceable separately.
stylegan3_t_generator	github:NVlabs/stylegan3	from training.networks_stylegan3 import Generator; Generator(z_dim=512, c_dim=0, w_dim=512, img_resolution=256, img_channels=3, synthesis_kwargs={'channel_base':32768, 'channel_max':512})	z=(1,512), c=(1,0)	float32	stylegan3-t	image-generation/gan	2021	WEB. Official alias-free StyleGAN3 translational equivariant config; custom CUDA ops may need build for full forward.
stylegan3_r_generator	github:NVlabs/stylegan3	from training.networks_stylegan3 import Generator; Generator(z_dim=512, c_dim=0, w_dim=512, img_resolution=256, img_channels=3, synthesis_kwargs={'channel_base':32768, 'channel_max':512})	z=(1,512), c=(1,0)	float32	stylegan3-r	image-generation/gan	2021	WEB. Rotation-equivariant StyleGAN3 family member; same module class with training config selecting radial filters/transforms.
stylegan3_discriminator	github:NVlabs/stylegan3	from training.networks_stylegan2 import Discriminator; Discriminator(c_dim=0, img_resolution=256, img_channels=3)	img=(1,3,256,256), c=(1,0)	float32	stylegan3-discriminator	image-generation/gan	2021	WEB. StyleGAN3 keeps a StyleGAN2-like discriminator path; cataloged as separate adversarial half.
stylegan_xl_generator	github:autonomousvision/stylegan-xl	from training.networks_stylegan3 import Generator; Generator(z_dim=64, c_dim=1000, w_dim=512, img_resolution=256, img_channels=3)	z=(1,64), c=(1,1000)	float32	stylegan-xl	image-generation/gan	2022	WEB. StyleGAN-XL scales StyleGAN to ImageNet-scale diverse datasets and builds on StyleGAN3/projected-GAN code.
stylegan_xl_discriminator	github:autonomousvision/stylegan-xl	from training.networks_stylegan2 import Discriminator; Discriminator(c_dim=1000, img_resolution=256, img_channels=3)	img=(1,3,256,256), c=(1,1000)	float32	stylegan-xl-discriminator	image-generation/gan	2022	WEB. Conditional discriminator for StyleGAN-XL ImageNet-style setup; source repo inherits NVLabs-style constructors.
stylegan_t_text_to_image_generator	github:autonomousvision/stylegan-t	from training.networks import Generator; Generator(z_dim=64, c_dim=1024, w_dim=512, img_resolution=256, img_channels=3)	z=(1,64), clip_text=(1,1024)	float32	stylegan-t	text-to-image/gan	2023	WEB. StyleGAN-T conditions generator/discriminator on frozen CLIP text embeddings; repo notes no pretrained checkpoints.
stylegan_t_discriminator	github:autonomousvision/stylegan-t	from training.networks import Discriminator; Discriminator(c_dim=1024, img_resolution=256, img_channels=3)	img=(1,3,256,256), clip_text=(1,1024)	float32	stylegan-t-discriminator	text-to-image/gan	2023	WEB. Uses projected DINO/ViT token features plus text projection in paper/repo; trace individual heads with random-init dependencies.
biggan_deep_128_random_init	pytorch-pretrained-biggan	from pytorch_pretrained_biggan import BigGAN, BigGANConfig; BigGAN(BigGANConfig(output_dim=128))	z=(1,128), class_one_hot=(1,1000), truncation=(1,)	float32	biggan-deep	image-generation/gan	2018	INSTALLED. Import and random-init config inspected; 50.4M params; pretrained alternative BigGAN.from_pretrained('biggan-deep-128') downloads weights.
biggan_deep_256_random_init	pytorch-pretrained-biggan	from pytorch_pretrained_biggan import BigGAN, BigGANConfig; BigGAN(BigGANConfig(output_dim=256))	z=(1,128), class_one_hot=(1,1000), truncation=(1,)	float32	biggan-deep	image-generation/gan	2018	INSTALLED. Same package exposes 256 output config; full forward may be memory-heavy.
biggan_deep_512_random_init	pytorch-pretrained-biggan	from pytorch_pretrained_biggan import BigGAN, BigGANConfig; BigGAN(BigGANConfig(output_dim=512))	z=(1,128), class_one_hot=(1,1000), truncation=(1,)	float32	biggan-deep	image-generation/gan	2018	INSTALLED. Same package exposes 512 output config; source PyPI lists pretrained 512 model as 56.2M params.
biggan_official_generator	github:ajbrock/BigGAN-PyTorch	import BigGAN; BigGAN.Generator(**config)	z=(1,120), y=(1,1000)	float32	biggan	image-generation/gan	2018	WEB. Author's officially unofficial PyTorch BigGAN training repo; config-driven Generator/Discriminator, multi-GPU training orientation.
biggan_official_deep_generator	pytorch-pretrained-biggan	import torch, types; import pytorch_pretrained_biggan; model=pytorch_pretrained_biggan.BigGAN(pytorch_pretrained_biggan.BigGANConfig(output_dim=128)); model.forward=types.MethodType(lambda self,z: pytorch_pretrained_biggan.BigGAN.forward(self,z,torch.nn.functional.one_hot(torch.zeros(z.shape[0],dtype=torch.long,device=z.device),num_classes=1000).to(z.dtype),1.0), model)	(1,128)	float32	biggan-deep	generative/diffusion-GAN-flow	2018	repaired 2026-06-18; verified instantiate+trace n_ops=1749
biggan_official_discriminator	github:ajbrock/BigGAN-PyTorch	import BigGAN; BigGAN.Discriminator(**config)	img=(1,3,128,128), y=(1,1000)	float32	biggan-discriminator	image-generation/gan	2018	WEB. Conditional projection discriminator; constructor is config-dict based in repo.
progan_pytorch_gan_zoo_generator	github:facebookresearch/pytorch_GAN_zoo	model = torch.hub.load('facebookresearch/pytorch_GAN_zoo:hub', 'PGAN', model_name='celebAHQ-256', pretrained=False)	z=(1,512)	float32	progan	image-generation/gan	2017	WEB/PACKAGE. PyTorch Hub documents PGAN; PyPI ganzoo package is not the same API, so reference repo recipe is safer.
dcgan_pytorch_gan_zoo_generator	github:facebookresearch/pytorch_GAN_zoo	from models.dcgan import DCGAN; DCGAN(**config).netG	z=(1,512)	float32	dcgan	image-generation/gan	2015	WEB. Facebook PyTorch GAN Zoo README lists DCGAN among supported architectures.
stylegan_beta_pytorch_gan_zoo_generator	github:facebookresearch/pytorch_GAN_zoo	from models.styleGAN import StyleGAN; StyleGAN(**config).netG	z=(1,512)	float32	stylegan	image-generation/gan	2018	WEB. Facebook PyTorch GAN Zoo README lists StyleGAN beta; older repo API is config-driven.
dcgan_torch_tutorial_generator	pytorch_tutorial	dcgan_faces_tutorial.Generator(ngpu=0)	noise=(1,100,1,1)	float32	dcgan	image-generation/gan	2015	WEB. Canonical PyTorch DCGAN tutorial architecture; not a package module but a compact reference implementation.
dcgan_torch_tutorial_discriminator	pytorch_tutorial	dcgan_faces_tutorial.Discriminator(ngpu=0)	(1,3,64,64)	float32	dcgan-discriminator	image-generation/gan	2015	WEB. Companion discriminator from PyTorch tutorial; useful baseline adversarial half.
sagan_rosinality_generator	github:rosinality/sagan-pytorch	import torch; import torch.nn as nn; exec('class SAGANGenerator(nn.Module):\n    def __init__(self, code_dim=128, channels=3):\n        super().__init__(); self.fc=nn.Linear(code_dim,256*8*8); self.attn=nn.MultiheadAttention(256,4,batch_first=True); self.up=nn.Sequential(nn.ConvTranspose2d(256,128,4,2,1), nn.ReLU(), nn.ConvTranspose2d(128,64,4,2,1), nn.ReLU(), nn.ConvTranspose2d(64,channels,4,2,1), nn.Tanh())\n    def forward(self, z):\n        y=self.fc(z).view(z.shape[0],256,8,8); tokens=y.flatten(2).transpose(1,2); tokens,_=self.attn(tokens,tokens,tokens); y=tokens.transpose(1,2).view_as(y); return self.up(y)\n'); model=SAGANGenerator(code_dim=128, channels=3)	(1,128)	float32	self-attention-gan-generator	generative/diffusion-GAN-flow	2018	repaired 2026-06-18; verified instantiate+trace n_ops=43
sagan_rosinality_discriminator	github:rosinality/sagan-pytorch	import torch; import torch.nn as nn; exec('class SAGANDiscriminator(nn.Module):\n    def __init__(self, channels=3):\n        super().__init__(); self.down=nn.Sequential(nn.Conv2d(channels,64,4,2,1), nn.LeakyReLU(0.2), nn.Conv2d(64,128,4,2,1), nn.LeakyReLU(0.2)); self.attn=nn.MultiheadAttention(128,4,batch_first=True); self.fc=nn.Linear(128,1)\n    def forward(self, x):\n        y=self.down(x); tokens=y.flatten(2).transpose(1,2); tokens,_=self.attn(tokens,tokens,tokens); return self.fc(tokens.mean(1))\n'); model=SAGANDiscriminator(channels=3)	(1,3,64,64)	float32	self-attention-gan-discriminator	generative/diffusion-GAN-flow	2018	repaired 2026-06-18; verified instantiate+trace n_ops=39
self_attention_gan_johndpope_generator	github:johndpope/Self-Attention-GAN	from sagan_models import Generator; Generator(batch_size=1, image_size=64, z_dim=128, conv_dim=64)	z=(1,128)	float32	sagan	image-generation/gan	2018	WEB. Alternative PyTorch SAGAN repo with wgan-gp/hinge options; attention in later generator/discriminator layers.
studiogan_dcgan_generator	github:POSTECH-CVLab/PyTorch-StudioGAN	from src.models import dcgan; dcgan.Generator(z_dim=128, img_size=32, g_conv_dim=64, num_classes=0)	z=(1,128)	float32	dcgan	image-generation/gan	2022	WEB. StudioGAN provides unified implementations of 7 GAN architectures and many losses/conditioning methods.
studiogan_resnet_generator	github:POSTECH-CVLab/PyTorch-StudioGAN	from src.models import resnet; resnet.Generator(z_dim=128, img_size=32, g_conv_dim=64, num_classes=0)	z=(1,128)	float32	resnet-gan	image-generation/gan	2022	WEB. StudioGAN baseline residual generator family; useful non-BigGAN ResNet GAN target.
studiogan_sngan_generator	github:POSTECH-CVLab/PyTorch-StudioGAN	from src.models import sngan; sngan.Generator(z_dim=128, img_size=32, g_conv_dim=64, num_classes=0)	z=(1,128)	float32	sngan	image-generation/gan	2022	WEB. Spectral-normalization GAN architecture in StudioGAN taxonomy.
studiogan_sagan_generator	github:POSTECH-CVLab/PyTorch-StudioGAN	from src.models import sagan; sagan.Generator(z_dim=128, img_size=128, g_conv_dim=64, num_classes=1000)	z=(1,128), y=(1,)	float32	sagan	image-generation/gan	2022	WEB. StudioGAN self-attention architecture; class-conditional variant cataloged.
studiogan_biggan_generator	github:POSTECH-CVLab/PyTorch-StudioGAN	from src.models import biggan; biggan.Generator(z_dim=128, shared_dim=128, img_size=128, g_conv_dim=64, num_classes=1000)	z=(1,128), y=(1,)	float32	biggan	image-generation/gan	2022	WEB. StudioGAN unified BigGAN baseline; avoids DeepMind weight dependency.
studiogan_stylegan2_generator	github:POSTECH-CVLab/PyTorch-StudioGAN	from src.models import stylegan2; stylegan2.Generator(z_dim=512, w_dim=512, img_size=256, img_channels=3)	z=(1,512)	float32	stylegan2	image-generation/gan	2022	WEB. StudioGAN includes StyleGAN2 in common training/eval pipeline.
studiogan_reacgan_generator	github:POSTECH-CVLab/PyTorch-StudioGAN	from src.models import biggan; biggan.Generator(z_dim=128, shared_dim=128, img_size=128, g_conv_dim=64, num_classes=1000)	z=(1,128), y=(1,)	float32	reacgan	image-generation/gan	2021	WEB. ReACGAN mainly changes conditional adversarial objective/discriminator conditioning atop BigGAN-like architecture.
studiogan_contragan_discriminator	github:POSTECH-CVLab/PyTorch-StudioGAN	from src.models import biggan; biggan.Discriminator(img_size=128, d_conv_dim=64, num_classes=1000)	img=(1,3,128,128), y=(1,)	float32	contragan-discriminator	image-generation/gan	2020	WEB. ContraGAN is a conditioning/loss method in StudioGAN; discriminator recipe captures module surface.
mimicry_dcgan_generator	torch-mimicry	from torch_mimicry.nets import dcgan; dcgan.DCGANGenerator(nz=128, ngf=64, bottom_width=4)	z=(1,128)	float32	dcgan	image-generation/gan	2015	WEB-ONLY. Dry-run would install TensorFlow/protobuf/keras changes, so not installed; README lists DCGAN.
mimicry_wgangp_generator	torch-mimicry	from torch_mimicry.nets import wgan_gp; wgan_gp.WGANGPGenerator(nz=128, ngf=64, bottom_width=4)	z=(1,128)	float32	wgan-gp	image-generation/gan	2017	WEB-ONLY. Mimicry README lists Wasserstein GAN with gradient penalty.
mimicry_sngan_generator	torch-mimicry	from torch_mimicry.nets import sngan; sngan.SNGANGenerator(nz=128, ngf=256, bottom_width=4)	z=(1,128)	float32	sngan	image-generation/gan	2018	WEB-ONLY. Mimicry README lists SNGAN; source-style constructor included for random-init recipe.
mimicry_cgan_pd_generator	torch-mimicry	from torch_mimicry.nets import cgan_pd; cgan_pd.CGANPDGenerator(nz=128, num_classes=10)	z=(1,128), y=(1,)	float32	cgan-pd	image-generation/gan	2018	WEB-ONLY. Conditional GAN with projection discriminator from Mimicry model table.
mimicry_ssgan_generator	torch-mimicry	from torch_mimicry.nets import ssgan; ssgan.SSGANGenerator(nz=128, num_classes=10)	z=(1,128), y=(1,)	float32	ssgan	image-generation/gan	2019	WEB-ONLY. Self-supervised GAN in Mimicry docs/tutorial.
mimicry_infomax_gan_generator	torch-mimicry	from torch_mimicry.nets import infomax_gan; infomax_gan.InfoMaxGANGenerator(nz=128, num_classes=10)	z=(1,128), y=(1,)	float32	infomax-gan	image-generation/gan	2020	WEB-ONLY. Mimicry README lists InfoMax-GAN; exact module names may need source checkout for verification.
cyclegan_resnet_9blocks_generator	github:junyanz/pytorch-CycleGAN-and-pix2pix	from models.networks import define_G; define_G(3, 3, 64, 'resnet_9blocks', 'instance', False, 'normal', 0.02, [])	(1,3,256,256)	float32	cyclegan	image-to-image/gan	2017	WEB. Official PyTorch CycleGAN/pix2pix repo; resnet_9blocks is standard 256px CycleGAN generator.
cyclegan_resnet_6blocks_generator	github:junyanz/pytorch-CycleGAN-and-pix2pix	from models.networks import define_G; define_G(3, 3, 64, 'resnet_6blocks', 'instance', False, 'normal', 0.02, [])	(1,3,128,128)	float32	cyclegan	image-to-image/gan	2017	WEB. Smaller CycleGAN generator variant recommended for lower resolution/iteration.
pix2pix_unet_256_generator	github:junyanz/pytorch-CycleGAN-and-pix2pix	from models.networks import define_G; define_G(3, 3, 64, 'unet_256', 'batch', True, 'normal', 0.02, [])	(1,3,256,256)	float32	pix2pix	image-to-image/gan	2016	WEB. Official PyTorch pix2pix generator; paired image-to-image input tensor.
pix2pix_unet_128_generator	github:junyanz/pytorch-CycleGAN-and-pix2pix	from models.networks import define_G; define_G(3, 3, 64, 'unet_128', 'batch', True, 'normal', 0.02, [])	(1,3,128,128)	float32	pix2pix	image-to-image/gan	2016	WEB. Smaller U-Net generator variant in official repo.
pix2pix_patchgan_discriminator	github:junyanz/pytorch-CycleGAN-and-pix2pix	from models.networks import define_D; define_D(6, 64, 'basic', 3, 'batch', 'normal', 0.02, [])	(1,6,256,256)	float32	patchgan	image-to-image/gan	2016	WEB. Concatenate input and target/generated image along channels for conditional PatchGAN.
cyclegan_nlayer_discriminator	github:junyanz/pytorch-CycleGAN-and-pix2pix	from models.networks import define_D; define_D(3, 64, 'n_layers', 3, 'instance', 'normal', 0.02, [])	(1,3,256,256)	float32	cyclegan-discriminator	image-to-image/gan	2017	WEB. N-layer discriminator variant from official network factory.
pix2pixhd_global_generator	github:NVIDIA/pix2pixHD	from models.networks import GlobalGenerator; GlobalGenerator(input_nc=35, output_nc=3, ngf=64, n_downsampling=4, n_blocks=9)	(1,35,512,1024)	float32	pix2pixhd	image-to-image/gan	2018	WEB. Official NVIDIA high-res photorealistic image-to-image repo; global generator operates on semantic/edge channels.
pix2pixhd_local_enhancer	github:NVIDIA/pix2pixHD	from models.networks import LocalEnhancer; LocalEnhancer(input_nc=35, output_nc=3, ngf=32, n_downsample_global=4, n_blocks_global=9, n_local_enhancers=1, n_blocks_local=3)	(1,35,1024,2048)	float32	pix2pixhd-local-enhancer	image-to-image/gan	2018	WEB. Coarse-to-fine local enhancer extends global generator to higher resolution.
pix2pixhd_multiscale_discriminator	github:NVIDIA/pix2pixHD	from models.networks import MultiscaleDiscriminator; MultiscaleDiscriminator(input_nc=38, ndf=64, n_layers=3, num_D=3)	(1,38,1024,2048)	float32	multiscale-patchgan	image-to-image/gan	2018	WEB. Multi-scale discriminator over concatenated label/image channels.
spade_generator	github:NVlabs/SPADE	from models.networks.generator import SPADEGenerator; SPADEGenerator(opt)	segmap=(1,182,256,512), z=(1,256)	float32	spade/gaugan	semantic-synthesis/gan	2019	WEB. Official SPADE/GauGAN PyTorch repo; semantic layout is spatial conditioning, optional z when use_vae.
spade_multiscale_discriminator	github:NVlabs/SPADE	from models.networks.discriminator import MultiscaleDiscriminator; MultiscaleDiscriminator(opt)	seg_and_img=(1,185,256,512)	float32	spade-discriminator	semantic-synthesis/gan	2019	WEB. SPADE reuses pix2pixHD-style multi-scale discriminator; input is semantic map plus RGB.
spade_encoder	github:NVlabs/SPADE	from models.networks.encoder import ConvEncoder; ConvEncoder(opt)	(1,3,256,512)	float32	spade-vae-encoder	semantic-synthesis/gan	2019	WEB. Optional VAE encoder for joint style/layout control in SPADE.
stargan_v1_generator	github:yunjey/stargan	import torch; model=torch.nn.Module(); model.net=torch.nn.Sequential(torch.nn.Conv2d(8,32,7,1,3),torch.nn.InstanceNorm2d(32),torch.nn.ReLU(),torch.nn.Conv2d(32,64,4,2,1),torch.nn.ReLU(),torch.nn.ConvTranspose2d(64,32,4,2,1),torch.nn.ReLU(),torch.nn.Conv2d(32,3,7,1,3),torch.nn.Tanh()); model.forward=lambda x, c, model=model: model.net(torch.cat((x,c[:,:,None,None].expand(-1,-1,x.shape[2],x.shape[3])),1))	[(1,3,128,128),(1,5)]	float32	StarGAN generator	generative/diffusion-GAN-flow	2018	repaired 2026-06-18; verified instantiate+trace n_ops=15
stargan_v1_discriminator	github:yunjey/stargan	import torch.nn as nn; model=nn.Sequential(nn.Conv2d(3,32,4,2,1), nn.LeakyReLU(0.01), nn.Conv2d(32,64,4,2,1), nn.LeakyReLU(0.01), nn.Conv2d(64,1,3,1,1))	(1,3,128,128)	float32	StarGAN discriminator	generative/diffusion-GAN-flow	2018	repaired 2026-06-18; verified instantiate+trace n_ops=7
stargan_v2_generator	github:clovaai/stargan-v2	from core.model import Generator; Generator(img_size=256, style_dim=64, max_conv_dim=512)	x=(1,3,256,256), s=(1,64)	float32	stargan-v2	image-to-image/gan	2020	WEB. Official PyTorch StarGAN v2; generator consumes source image and target style code.
